Image.downloadLargeFile; Click here to download it instead.; Klik her for at hente den i stedet.; {alfresco/site-webscripts/org/alfresco/components/preview/web-preview.get.properties}Image.downloadLargeFile;;;
Image.tooLargeFile; File {0} might be too large to display ({1}).; Fil {0} er m\u00e5ske for stor til visning ({1}).; {alfresco/site-webscripts/org/alfresco/components/preview/web-preview.get.properties}Image.tooLargeFile;;;
Image.viewLargeFile; Click here to view it anyway.; Klik her for at vise den alligevel.; {alfresco/site-webscripts/org/alfresco/components/preview/web-preview.get.properties}Image.viewLargeFile;;;
PdfJs.tooLargeFile; File is too large to display ({0}, must be less than {1}).; Filen er for stor til at kunne vises ({0}, skal v\u00e6re mindre end {1}).; {alfresco/site-webscripts/org/alfresco/modules/preview/pdfjs.get.properties}PdfJs.tooLargeFile;;;
acceptregistered.text; Click the following link if you have not been automatically redirected to the Site Dashboard:; Klik p\u00e5 f\u00f8lgende link, hvis du ikke blev automatisk omdirigeret til sitets instrumentbr\u0; {alfresco/site-webscripts/org/alfresco/components/invite/accept-invite.get.properties}acceptregistered.text;;;
acceptregistered.title; Acceptance registered. Redirecting...; Accept registeret. Omdirigerer...; {alfresco/site-webscripts/org/alfresco/components/invite/accept-invite.get.properties}acceptregistered.title;;;
action.accept; No; Nej; {alfresco/site-webscripts/org/alfresco/components/invite/reject-invite.get.properties}action.accept;;;
action.cancel; Cancel; Annuller; {alfresco/site-webscripts/org/alfresco/components/discussions/createtopic.get.properties}action.cancel;;;
action.cancel; Cancel; Annuller; {alfresco/site-webscripts/org/alfresco/components/blog/postedit.get.properties}action.cancel;;;
action.cancel; Cancel; Annuller; {alfresco/site-webscripts/org/alfresco/modules/discussions/topic/edit-topic.get.properties}action.cancel;;;
action.cancel; Cancel; Annuller; {alfresco/site-webscripts/org/alfresco/modules/discussions/replies/reply-form.get.properties}action.cancel;;;
action.cancel; Cancel; Annuller; {alfresco/site-webscripts/org/alfresco/modules/blog/comments/edit-comment.get.properties}action.cancel;;;
action.create; Create; Opret; {alfresco/site-webscripts/org/alfresco/components/discussions/replies.get.properties}action.create;;;
action.delete; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/links/linksview.get.properties}action.delete;;;
action.delete; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/discussions/topic.get.properties}action.delete;;;
action.delete; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/discussions/topiclist.get.properties}action.delete;;;
action.delete; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/blog/postlist.get.properties}action.delete;;;
action.delete; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/blog/postview.get.properties}action.delete;;;
action.delete; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/blog/comments.get.properties}action.delete;;;
action.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/links/linksview.get.properties}action.edit;;;
action.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/discussions/topic.get.properties}action.edit;;;
action.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/discussions/topiclist.get.properties}action.edit;;;
action.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/discussions/replies.get.properties}action.edit;;;
action.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/blog/postlist.get.properties}action.edit;;;
action.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/blog/postview.get.properties}action.edit;;;
action.edit; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/blog/comments.get.properties}action.edit;;;
